breed_id;country;weight;height;length;has_defects;is_multicolor;weight_delta_percent;height_delta_percent;length_delta_percent
38;Mali;18.708;55.063;26.536;False;True;58.97;61.26;66.69
39;Bermuda;64.344;26.283;88.556;True;True;82.64;86.74;82.08
40;Tuvalu;82.497;28.664;88.038;True;True;60.47;27.65;85.69
41;Dominica;80.741;17.891;60.915;False;True;82.79;72.13;13.91
42;Marshall Islands;94.793;77.608;94.963;False;False;16.74;21.46;7.71
43;Dominican Republic;24.786;12.216;24.639;False;True;15.01;77.27;23.61
44;Eritrea;75.559;4.783;14.084;False;False;32.34;33.39;61.41
45;Marshall Islands;85.864;55.313;57.354;False;True;35.99;18.49;81.26
46;Nauru;63.706;96.851;8.334;False;False;18.22;10.86;89.05
47;Jordan;74.07;70.322;83.405;False;True;51.03;65.44;91.32
48;Ecuador;31.263;82.4;90.865;True;False;87.57;91.69;5.4
49;Egypt;47.896;18.533;46.317;True;True;29.68;36.23;55.84
50;India;45.483;31.473;12.995;False;True;15.9;97.12;85.95
51;Saint Vincent & the Grenadines;62.946;52.672;39.519;False;True;9.69;84.21;9.28
52;Brazil;73.254;49.327;13.23;True;False;49.9;95.96;17.77
53;Laos;8.685;33.983;60.884;True;True;57.9;96.14;29.27
54;Djibouti;91.183;24.245;58.314;False;True;74.51;81.1;1.55
55;Belgium;96.69;38.675;41.136;True;True;33.79;34.24;98.0
56;Grenada;88.139;49.063;12.893;False;False;28.54;32.17;57.36
57;Grenada;45.932;43.402;83.122;False;True;19.92;47.48;80.51
58;Cape Verde;62.216;20.431;21.024;False;False;43.48;48.86;87.94
59;Cameroon;14.037;48.343;91.801;True;True;96.3;99.13;12.96
60;Belarus;49.305;47.287;20.759;False;False;73.07;40.45;13.89
61;Myanmar;83.516;35.188;97.014;False;False;38.3;11.4;54.81
62;Slovakia;53.457;31.759;6.28;True;True;68.23;58.37;65.15
63;Brazil;54.346;29.434;27.337;False;True;52.79;4.79;80.48
64;Australia;1.699;39.43;39.91;False;True;81.12;41.26;14.19
65;Chad;83.382;81.696;89.029;False;False;63.58;90.5;5.69
66;Liechtenstein;75.62;87.131;1.722;True;True;70.89;50.98;54.96
67;Cyprus;16.24;67.201;61.592;False;True;98.9;39.89;80.24
68;Laos;19.981;1.674;88.883;False;True;61.28;4.73;34.8
69;Iceland;81.561;51.263;72.185;False;False;76.27;38.25;16.34
70;Vanuatu;70.546;1.387;35.98;False;True;13.27;55.32;71.45
71;Burkina;25.821;20.716;73.407;True;False;50.39;92.63;71.25
72;Philippines;60.112;62.106;66.992;True;False;42.2;94.66;7.35
73;Turkey;6.231;13.03;94.069;False;False;72.45;20.47;44.63
74;Luxembourg;69.263;91.72;83.631;False;False;37.9;17.49;70.87
75;South Africa;37.558;85.287;39.606;False;False;98.56;37.87;65.39
76;Philippines;41.748;29.857;51.37;True;True;39.97;25.93;70.75
77;Taiwan;78.8;8.393;9.742;False;True;12.23;99.81;39.67
78;Pakistan;11.737;99.316;25.471;False;True;81.92;2.61;45.23
79;Antigua & Deps;37.232;82.831;58.141;True;True;47.86;35.49;76.57
80;Nauru;4.66;11.743;61.479;False;True;25.74;68.68;16.34
81;Chile;9.347;87.882;23.567;False;True;75.71;19.26;40.77
82;Poland;75.636;68.038;57.231;True;True;89.08;31.54;13.62
83;Jordan;28.911;85.582;99.986;False;False;57.43;0.16;62.77
84;Iran;34.108;0.496;79.409;False;False;36.37;7.48;7.42
85;Uganda;77.508;21.351;98.386;True;True;98.05;30.38;99.04
86;Djibouti;26.025;5.618;41.361;True;False;53.33;94.89;15.11
87;Ghana;19.382;29.08;17.637;False;False;85.77;42.26;37.2
88;Haiti;98.971;51.773;25.164;False;False;28.5;69.05;27.29
89;Mauritania;91.699;77.67;92.729;False;True;99.16;71.48;21.12
90;Myanmar;48.459;93.822;71.786;False;True;0.86;79.17;89.01
91;Senegal;51.072;2.938;74.303;False;True;9.87;40.92;47.88
92;Liechtenstein;18.789;61.599;6.835;False;True;12.16;13.34;64.2
93;Cyprus;15.749;66.575;62.384;True;True;72.51;65.09;23.7
94;Congo (Democratic Rep);52.438;25.624;4.774;False;False;7.91;79.04;65.88
95;Denmark;56.361;41.768;0.343;False;True;73.89;24.88;78.78
96;Guinea;3.938;35.483;44.418;True;False;6.01;94.39;21.67
97;Uzbekistan;86.719;88.392;24.169;False;True;14.57;63.51;30.57
98;Guinea-Bissau;60.456;18.188;57.386;False;False;63.13;76.12;38.41
99;Antigua & Deps;92.831;98.572;14.129;True;True;57.16;52.41;20.36
100;Madagascar;64.08;15.916;58.437;True;False;64.85;52.54;8.13
101;Montenegro;45.0;83.985;50.671;True;False;56.24;72.21;25.06
102;Saint Vincent & the Grenadines;85.72;39.59;86.529;False;True;34.08;38.59;25.02
103;Netherlands;95.726;1.131;96.393;True;False;11.43;34.1;28.13
104;Somalia;96.518;73.053;9.745;False;False;71.68;55.48;26.44
105;Russian Federation;86.712;31.888;86.738;False;False;54.0;1.15;87.8
106;New Zealand;39.468;86.326;65.401;False;False;95.35;37.88;68.92
107;Bolivia;95.692;46.994;10.593;True;True;88.53;3.59;87.59
108;Yemen;3.833;88.929;45.148;False;True;44.24;91.07;62.77
109;Peru;54.818;11.995;13.079;True;False;35.0;54.56;70.27
110;Slovenia;65.43;26.158;43.271;False;True;60.86;97.24;10.51
111;El Salvador;29.256;69.644;43.599;False;False;69.11;80.7;21.92
112;Burundi;76.701;84.466;74.122;False;False;25.02;94.19;53.64
113;Italy;61.82;30.98;93.448;False;True;77.54;11.65;29.05
114;Ghana;13.189;5.844;75.491;False;True;45.68;12.15;18.5
115;Colombia;66.478;16.656;73.248;False;True;72.43;40.52;25.26
116;Malta;15.438;62.183;66.16;False;True;56.01;51.8;99.66
117;Mongolia;64.855;42.563;15.529;True;True;17.93;9.48;87.83
118;Iran;72.903;23.616;24.381;True;True;49.8;54.13;5.76
119;Italy;1.568;41.084;51.734;True;False;57.61;83.63;24.06
120;Bahrain;51.826;58.042;9.235;True;False;5.4;42.08;64.52
121;Tajikistan;33.846;46.353;16.589;True;True;59.03;36.12;88.37
122;Bosnia Herzegovina;98.58;6.441;88.935;True;True;51.48;51.1;46.89
123;Haiti;92.273;92.857;15.992;True;True;65.92;65.41;43.93
124;Suriname;8.565;92.811;56.111;False;True;60.0;16.49;50.95
125;Kazakhstan;95.257;73.176;60.947;False;True;55.52;93.01;7.16
126;Guatemala;47.811;37.112;85.632;False;False;62.7;69.2;54.21
127;Nicaragua;18.127;13.772;38.085;False;True;80.92;84.9;85.39
128;Rwanda;49.474;2.694;18.691;False;False;87.37;85.66;82.63
129;Gabon;43.428;0.639;94.234;False;False;47.71;83.69;88.47
130;Eritrea;26.76;85.315;84.609;True;True;99.24;24.89;83.74
131;Belgium;68.874;56.499;29.812;True;False;68.79;10.83;14.47
132;Mauritius;7.445;59.771;83.801;False;False;55.83;69.31;48.46
133;Uzbekistan;19.653;49.517;36.724;True;False;47.25;95.55;98.02
134;Somalia;35.904;65.246;73.195;False;False;25.84;7.17;92.4
135;East Timor;2.705;55.973;42.796;False;True;41.82;75.18;5.96
136;Mongolia;73.756;18.431;48.26;True;True;48.0;69.69;41.01
137;Qatar;55.488;79.717;3.525;True;False;46.31;94.09;2.31
138;Djibouti;9.479;28.167;96.668;True;True;42.59;25.01;24.96
139;Guinea;78.611;66.337;11.249;True;False;35.22;99.99;77.67
140;Israel;82.555;1.059;75.791;False;True;64.28;18.74;5.0
141;Eritrea;11.647;72.5;27.356;True;True;74.89;29.49;89.35
142;Kazakhstan;71.849;60.031;60.259;True;True;90.51;24.87;79.47
143;Portugal;16.309;21.848;88.047;False;True;10.5;91.7;0.66
144;Singapore;85.994;68.521;72.262;True;True;74.88;57.72;3.04
145;Ivory Coast;9.791;29.928;12.136;False;False;15.5;12.0;6.61
146;Antigua & Deps;43.301;58.482;23.662;True;False;76.42;66.57;25.08
147;Saint Vincent & the Grenadines;35.441;32.417;61.265;True;True;37.99;74.16;66.03
148;Antigua & Deps;45.081;98.117;39.439;False;True;36.05;81.59;54.06
149;United Kingdom;89.124;95.428;35.09;True;False;41.21;73.38;29.61
150;Equatorial Guinea;73.104;14.112;76.102;True;False;31.61;58.42;56.46
151;Peru;12.005;50.26;35.35;False;False;78.62;65.92;52.47
152;Malta;14.836;54.593;33.792;True;True;47.41;88.05;90.84
153;Laos;86.747;94.518;42.572;False;False;23.25;81.22;39.99
154;Brazil;79.849;7.702;37.881;True;False;24.48;10.91;82.87
155;Kenya;93.283;14.729;73.535;True;True;57.6;98.03;89.92
156;Azerbaijan;25.509;12.627;89.389;True;False;6.17;38.49;88.15
157;Monaco;31.577;18.829;55.284;False;True;36.2;80.34;7.44
158;Trinidad & Tobago;51.732;5.505;44.299;False;False;28.4;50.98;67.04
159;Azerbaijan;33.631;92.591;64.446;True;False;91.15;79.6;50.06
160;Guyana;78.011;85.341;34.757;False;False;81.57;41.82;68.35
161;Norway;66.821;96.268;38.9;True;True;97.17;43.59;88.57
162;Egypt;71.455;21.387;27.375;False;True;29.75;78.31;78.34
163;Djibouti;13.349;86.041;57.128;False;False;16.09;90.0;9.84
164;Chad;33.386;91.283;66.296;True;False;92.53;73.51;55.83
165;Indonesia;41.837;38.587;67.714;True;True;2.66;40.03;42.73
166;Ivory Coast;53.266;84.958;84.953;True;False;9.46;45.27;40.07
167;Portugal;86.784;89.265;77.405;False;False;88.96;33.08;45.11
168;Kosovo;62.366;7.889;85.729;True;True;25.12;45.01;3.49
169;Paraguay;69.819;8.079;25.651;False;True;40.9;53.27;76.15
170;Tanzania;1.426;37.999;72.583;False;False;26.55;27.74;68.34
171;Slovenia;75.381;15.458;56.808;True;True;43.27;64.81;21.5
172;Eritrea;70.661;61.847;39.814;False;False;6.03;6.15;91.28
173;Guatemala;67.702;58.239;54.054;True;False;86.83;86.15;37.85
174;Pakistan;21.567;37.838;60.163;False;True;10.04;94.71;21.51
175;Trinidad & Tobago;0.456;33.706;4.009;True;True;61.5;50.19;58.94
176;Luxembourg;65.446;40.161;79.232;True;False;40.82;65.81;78.39
177;Dominica;94.832;93.821;58.378;True;True;48.34;45.68;63.56
178;Antigua & Deps;59.889;26.105;60.875;True;True;25.46;98.98;17.93
179;Albania;95.436;26.992;64.712;False;True;21.51;73.79;67.21
180;Estonia;74.528;37.671;86.493;False;False;30.12;5.95;56.67
181;Marshall Islands;31.897;84.0;46.299;True;False;11.44;95.26;76.6
182;St Lucia;2.896;6.261;78.805;False;True;90.05;65.39;4.36
183;Eswatini;67.377;59.671;31.656;False;False;51.58;37.95;96.83
184;Iceland;49.264;71.442;48.94;False;False;74.22;99.74;82.14
185;New Zealand;26.988;23.657;21.162;True;True;93.26;9.11;50.09
186;Bhutan;71.77;58.066;80.556;True;False;35.36;74.2;50.44
187;Armenia;58.194;54.039;14.373;True;False;73.81;39.73;70.72
188;South Sudan;32.462;45.717;80.912;True;True;58.28;0.02;10.01
189;Romania;95.29;99.686;19.618;True;True;7.03;86.45;21.61
190;Chad;7.611;8.019;44.516;True;True;54.98;31.07;42.7
191;Kazakhstan;49.817;21.246;83.475;False;True;48.41;11.91;18.61
192;Togo;83.444;98.25;57.373;True;False;36.85;56.67;0.91
193;Lithuania;52.779;79.968;28.682;True;True;96.14;74.72;5.11
194;Romania;14.128;11.202;70.216;True;True;79.41;28.55;45.77
195;Finland;85.675;53.15;11.925;True;False;42.45;17.69;97.6
196;Myanmar;95.951;32.591;2.063;True;False;85.08;45.13;42.29
197;Uruguay;89.689;73.401;57.334;False;True;7.52;30.04;34.87
198;Central African Rep;69.879;42.114;32.669;False;True;49.81;37.64;70.15
199;New Zealand;83.196;17.13;10.302;False;True;50.23;46.4;27.87
200;Sierra Leone;78.542;55.24;47.372;False;True;41.69;77.56;72.24
201;Japan;18.75;65.001;24.457;False;False;85.28;40.53;69.28
202;Cyprus;36.555;18.847;94.553;False;False;5.03;2.49;75.87
203;Maldives;16.36;66.305;84.075;True;True;12.02;0.79;42.4
204;Liechtenstein;25.94;69.833;83.102;False;True;67.55;62.66;11.39
205;Estonia;63.098;50.177;71.444;True;False;24.28;90.47;8.89
206;Gabon;87.001;36.26;41.252;False;True;38.42;72.73;25.8
207;India;56.64;86.552;96.457;True;True;97.41;51.66;37.36
208;Kenya;24.771;50.249;75.916;False;False;16.29;9.65;68.48
209;Vatican City;43.493;1.156;16.278;True;False;74.86;9.55;25.9
210;Thailand;48.999;43.196;91.455;True;True;30.36;23.26;77.67
211;Ecuador;15.42;81.796;78.786;True;True;94.23;96.42;29.02
212;Malawi;40.386;58.66;25.201;False;True;27.3;33.82;87.71
213;Jamaica;16.145;32.351;69.892;True;False;73.5;34.93;59.49
214;Thailand;17.101;53.407;86.311;False;True;59.88;79.15;32.03
215;Cyprus;3.077;65.631;81.373;False;True;15.81;85.49;65.01
216;Equatorial Guinea;7.799;52.982;26.931;True;False;3.67;41.18;11.53
217;Sweden;62.875;91.825;75.632;True;True;58.26;11.42;0.78
218;Russian Federation;21.854;75.878;42.426;False;True;74.81;87.07;78.94
219;India;26.117;83.707;92.247;False;True;95.11;72.92;89.87
220;Ethiopia;27.032;70.629;2.057;True;False;22.42;76.4;22.21
221;Argentina;92.834;29.215;0.246;False;True;79.36;92.02;99.69
222;Brunei;24.301;51.715;35.367;False;False;87.44;51.21;96.49
223;India;78.987;52.644;15.335;False;False;73.34;48.36;35.09
224;Kazakhstan;77.609;39.239;91.694;False;True;45.43;33.24;46.43
225;Cameroon;52.424;64.807;12.074;True;True;30.43;58.36;82.22
226;Mozambique;72.701;33.554;62.502;True;True;54.17;65.06;10.55
227;Qatar;80.807;54.766;9.381;True;False;31.59;45.94;47.54
228;Yemen;2.197;54.078;42.694;True;True;11.99;41.15;77.56
229;Sri Lanka;9.579;75.92;47.321;True;True;74.9;68.26;78.2
230;United Kingdom;55.296;23.212;55.135;True;False;67.92;25.08;33.84
231;Liechtenstein;21.551;56.668;84.787;False;True;2.97;2.2;84.16
232;Iran;81.078;63.551;90.923;True;True;6.09;53.87;35.81
233;Panama;98.73;56.838;59.37;True;False;84.08;30.61;88.17
234;Bhutan;99.106;1.682;60.637;True;True;88.35;36.52;30.19
235;Luxembourg;0.013;97.894;88.709;False;True;68.33;48.63;39.78
236;Tanzania;79.44;51.457;74.478;True;False;51.24;59.75;91.59
237;Malta;21.753;34.606;39.498;False;False;30.43;68.76;64.0
238;Sierra Leone;81.368;97.357;14.079;False;False;21.46;0.82;38.4
239;Mauritania;10.565;69.63;11.354;True;True;69.24;54.08;40.03
240;Haiti;97.276;1.647;94.439;True;True;77.31;11.26;6.09
241;Guinea-Bissau;20.485;67.325;69.435;True;True;65.84;67.04;90.26
242;Qatar;40.247;88.479;27.986;False;False;35.45;45.09;15.97
243;Tajikistan;60.236;15.893;73.97;False;True;43.57;44.56;19.5
244;Liberia;60.283;49.302;20.372;False;True;62.99;69.32;54.61
245;Bermuda;47.798;94.044;76.06;False;True;91.22;93.87;41.62
246;Iraq;98.156;6.573;85.337;False;True;17.79;22.42;27.71
247;New Zealand;8.842;60.856;52.696;False;False;95.22;6.78;13.93
248;Lithuania;27.682;69.117;34.107;False;False;7.28;57.66;82.11
249;East Timor;63.256;55.795;39.9;False;True;42.17;68.57;53.14
250;Uganda;40.606;66.912;86.893;False;False;44.89;14.96;68.52
251;Bangladesh;87.046;66.484;86.05;True;False;81.65;65.26;22.35
252;India;34.869;77.473;31.376;False;True;24.98;66.77;86.03
253;St Kitts & Nevis;94.174;95.538;20.14;True;False;93.68;85.45;60.47
254;Mozambique;13.507;26.804;85.324;False;False;82.39;2.0;87.94
255;Ukraine;77.635;61.769;48.969;True;False;21.18;87.24;61.98
256;Yemen;34.101;45.986;80.872;True;False;49.72;62.59;92.08
257;Uganda;11.475;78.886;86.106;False;True;57.85;80.58;73.25
258;Japan;16.717;67.698;56.241;True;False;72.49;38.99;68.93
259;Nigeria;49.322;32.027;6.711;True;False;34.89;31.1;6.46
260;Uruguay;7.296;98.876;19.168;True;False;79.5;65.55;36.72
261;Brunei;1.39;12.091;97.713;False;True;74.0;94.73;98.85
262;South Africa;89.038;54.231;33.576;True;True;90.44;26.26;65.69
263;Bulgaria;45.626;95.902;25.876;False;True;74.62;51.86;42.47
264;Israel;11.22;52.489;53.805;True;False;54.6;97.82;91.27
265;Uruguay;25.607;28.842;80.865;False;False;13.68;91.49;81.27
266;Samoa;45.801;78.425;9.218;True;False;81.55;72.25;28.36
267;Turkey;42.193;76.15;31.394;False;True;88.12;91.16;1.51
268;Mauritius;87.52;1.894;13.881;True;True;49.63;61.16;77.28
269;Grenada;61.305;25.954;87.904;True;False;76.48;13.91;3.76
270;Tuvalu;46.679;47.065;30.579;True;False;23.19;97.36;87.0
271;Samoa;18.075;66.047;67.834;False;True;42.68;53.91;53.79
272;Albania;7.689;31.182;42.363;True;True;50.23;56.92;91.46
273;Bermuda;88.166;56.153;55.106;False;True;0.92;72.71;16.07
274;Guinea-Bissau;30.604;48.71;75.994;False;True;85.85;10.05;1.72
275;New Zealand;87.867;51.754;57.994;False;True;70.42;70.4;0.48
276;Sri Lanka;37.133;1.869;23.415;False;False;64.06;6.48;95.33
277;Israel;42.949;85.216;42.186;True;False;58.21;23.67;19.91
278;Latvia;2.163;68.919;27.114;True;False;10.66;46.14;7.88
279;Cambodia;90.286;8.342;54.92;True;True;63.3;33.74;27.95
280;Brunei;46.21;48.936;85.407;True;True;52.81;29.32;32.9
281;Vanuatu;46.779;76.812;54.829;True;True;13.27;16.2;26.94
282;India;10.003;44.987;26.243;False;True;10.85;30.33;98.19
283;Macedonia;95.47;56.496;77.853;True;False;0.06;71.44;61.68
284;Australia;53.993;47.867;61.715;False;False;95.73;34.61;45.45
285;Somalia;94.469;46.02;37.672;True;True;28.95;35.75;62.52
286;Slovakia;98.549;81.25;56.736;True;True;50.1;51.32;4.15
287;Vatican City;84.656;32.763;58.271;False;False;20.72;13.01;49.59
288;United Arab Emirates;87.536;45.356;19.596;False;True;86.19;72.01;37.22
289;Micronesia;78.84;60.901;10.017;False;False;27.52;62.96;27.7
290;St Kitts & Nevis;19.237;92.537;83.049;False;True;13.59;21.9;21.5
291;Madagascar;8.092;48.162;59.718;True;True;54.77;28.19;81.17
292;Suriname;65.574;45.238;7.621;False;False;0.45;24.59;79.35
293;Austria;68.723;79.794;81.451;False;False;65.65;88.97;91.05
294;Palau;62.503;87.789;25.478;True;False;67.73;0.15;27.73
295;Cuba;39.383;51.026;36.873;False;True;62.51;5.05;54.17
296;United States;76.781;48.679;14.23;True;True;83.2;33.2;2.04
297;United Kingdom;70.956;20.625;66.218;True;False;26.87;57.76;2.04
298;Kosovo;25.934;24.484;92.51;False;False;32.96;54.05;54.98
299;Italy;1.804;74.416;82.247;False;True;48.63;23.09;90.98
300;Eritrea;82.211;33.08;33.302;True;False;1.69;21.09;69.85
301;Guatemala;6.928;0.819;92.343;False;False;47.16;9.16;14.37
302;Tajikistan;87.746;58.448;8.906;False;True;74.35;44.25;40.45
303;Costa Rica;44.719;13.999;6.965;True;True;82.97;9.48;94.68
304;Cyprus;42.025;11.548;94.659;False;False;59.68;46.31;81.56
305;Turkmenistan;34.521;3.129;7.299;True;True;54.19;64.81;73.57
306;Mongolia;31.68;36.388;31.509;False;True;53.58;41.09;15.57
307;Samoa;64.467;52.591;65.044;True;True;88.95;21.29;0.1
308;Brazil;61.391;62.818;18.875;False;True;9.48;54.44;69.38
309;Nepal;9.747;86.84;2.612;True;False;51.34;42.04;30.99
310;Paraguay;28.678;67.026;48.865;False;False;25.05;28.02;34.71
311;Brunei;34.077;11.945;22.159;True;False;48.96;55.18;32.43
312;Congo;80.693;51.094;13.056;False;True;37.93;4.53;73.62
313;Tonga;71.302;13.567;47.772;True;False;19.18;35.99;74.52
314;Vatican City;36.675;42.06;63.6;False;False;20.39;54.56;61.29
315;Australia;61.52;64.634;43.843;False;True;4.66;3.24;29.27
316;Uganda;4.091;3.768;91.919;True;True;39.5;28.38;98.0
317;Palestine;5.582;18.709;31.481;True;True;65.95;64.85;43.13
318;India;87.77;61.9;18.879;False;False;40.47;17.71;0.88
319;Jordan;3.166;38.982;0.231;False;False;46.02;35.58;30.47
320;South Africa;57.424;0.21;30.356;True;True;32.49;91.52;56.42
321;El Salvador;46.206;7.096;66.365;True;False;16.07;62.87;71.7
322;Rwanda;11.443;34.836;47.191;False;True;54.85;55.72;80.42
323;Switzerland;75.458;63.706;22.934;True;True;19.81;52.19;65.25
324;Liberia;82.899;9.205;57.842;True;True;14.84;8.49;71.9
325;United Arab Emirates;5.789;39.378;61.675;True;False;45.21;54.67;8.39
326;Congo;27.748;39.927;6.176;False;False;48.68;61.87;50.22
327;Nauru;69.202;38.551;58.196;True;False;49.07;51.11;12.47
328;Lithuania;75.309;47.327;25.017;True;False;32.81;34.92;32.9
329;Luxembourg;86.14;17.948;31.2;False;True;2.68;8.03;62.93
330;Bahrain;8.247;45.645;71.31;True;False;65.13;36.5;3.3
331;Belgium;46.147;55.209;16.279;False;True;76.3;49.01;88.57
332;Gambia;28.299;56.73;19.032;False;True;1.08;9.38;90.15
333;Italy;79.295;15.88;57.689;False;False;79.42;97.12;28.94
334;Bangladesh;28.404;79.374;95.165;False;False;0.41;33.3;82.22
335;Maldives;43.02;57.631;96.606;False;False;53.23;89.66;43.43
336;China;32.8;89.583;59.754;True;False;97.31;85.82;19.61
337;Tanzania;36.568;27.355;54.935;True;False;34.06;49.85;80.79
338;South Sudan;57.298;66.234;45.771;True;False;17.15;86.05;86.3
339;Philippines;42.902;38.457;22.75;True;False;13.07;92.99;29.96
340;Rwanda;15.23;69.552;17.32;True;True;68.32;37.0;88.55
341;Montenegro;4.326;58.027;42.932;False;True;64.42;16.3;15.5
342;Italy;69.647;81.053;28.403;False;False;5.24;70.81;56.14
343;Liberia;86.808;65.132;4.619;False;True;45.05;83.22;8.47
344;Central African Rep;28.921;83.814;47.081;False;False;55.47;36.14;8.25
345;Djibouti;85.357;43.645;0.522;False;True;93.06;39.81;80.32
346;South Africa;5.238;49.839;97.895;True;True;52.36;22.8;98.8
347;Cuba;74.174;62.972;70.52;True;True;55.65;20.89;36.58
348;Burundi;66.477;50.944;42.847;True;False;98.91;18.45;56.37
349;Mexico;35.832;95.399;64.983;False;True;86.25;98.54;47.11
350;Peru;94.258;97.545;84.23;False;True;22.89;57.97;4.56
351;Portugal;62.363;84.511;72.24;True;False;38.8;84.55;13.78
352;Kosovo;67.776;82.032;79.834;True;False;46.38;53.98;20.89
353;Mexico;7.152;89.413;54.901;True;False;57.47;29.36;27.84
354;Uzbekistan;4.391;34.331;67.968;True;False;56.46;7.18;39.95
355;Slovenia;9.623;49.001;66.481;False;False;97.65;89.09;73.62
356;Nicaragua;71.335;77.647;55.014;True;True;24.77;3.49;29.81
357;Luxembourg;67.87;58.338;5.64;True;True;91.11;25.06;81.26
358;Somalia;34.201;15.285;94.651;False;False;76.17;52.01;37.99
359;Ivory Coast;78.454;36.376;79.867;False;True;55.22;2.0;32.11
360;Ethiopia;93.273;34.197;25.395;True;False;77.59;19.71;89.57
361;Rwanda;39.427;75.484;12.879;True;False;43.68;47.5;30.57
362;Croatia;67.638;21.406;60.895;False;True;57.74;67.85;89.91
363;Saudi Arabia;95.978;89.598;67.172;False;True;26.95;21.79;81.18
364;Montenegro;70.725;3.208;31.844;True;True;9.2;5.12;1.77
365;Kiribati;49.884;65.222;72.339;True;True;16.07;34.21;83.36
366;Nepal;9.233;95.959;14.596;True;False;39.08;35.0;32.47
367;Moldova;94.979;65.257;49.464;True;False;96.0;50.54;15.96
368;Rwanda;30.366;10.521;17.497;True;False;87.55;85.21;73.08
369;Cambodia;27.83;25.398;83.026;False;True;79.85;10.33;59.83
370;Myanmar;74.273;31.533;58.769;True;False;42.66;39.8;89.67
371;Romania;62.451;45.086;81.064;False;True;32.29;0.05;62.54
372;Indonesia;61.552;74.914;68.392;True;True;0.73;8.34;79.17
373;Mozambique;7.304;34.391;36.174;True;True;48.25;95.33;95.46
374;Malta;98.284;66.959;58.797;True;False;65.68;24.1;90.64
375;Palestine;5.322;10.6;65.892;False;False;22.2;95.66;76.57
376;Mali;14.344;43.201;62.636;True;False;55.37;30.09;40.52
377;Iran;54.685;10.256;1.359;True;True;7.37;16.81;40.32
378;Guinea-Bissau;10.731;62.374;82.031;False;True;66.1;63.71;92.31
379;Tuvalu;57.658;52.972;13.294;False;False;12.29;10.39;43.68
380;Ecuador;85.804;44.44;27.651;False;False;62.08;9.27;76.81
381;New Zealand;38.699;47.223;13.847;False;False;10.47;93.52;96.28
382;Saint Vincent & the Grenadines;5.338;88.649;14.897;False;False;4.18;98.96;85.82
383;Liechtenstein;44.368;88.846;75.396;True;False;59.47;74.3;94.55
384;Liechtenstein;39.624;27.754;2.972;True;False;76.49;96.0;17.42
385;Bermuda;16.582;95.094;83.638;False;False;43.13;14.64;59.1
386;Burkina;7.658;50.896;42.014;False;False;57.37;24.64;53.71
387;Bhutan;0.337;5.28;25.533;False;False;84.66;6.57;15.88
