species_id;breed_id;standard_id;status;country;show_class;name;is_multi_breed
;70;70;created;Sao Tome & Principe;three;Dominguez-Daniels;False
12;;;created;Burundi;three;Anderson, Keller and Williams;True
;72;72;created;Canada;one;Conner, Jones and Lewis;False
;73;73;created;Libya;one;Humphrey, Hill and Davis;False
;74;74;created;Nepal;two;Shelton and Sons;False
;75;75;created;Guinea-Bissau;two;Booth-Thomas;False
271;;;created;Cuba;two;Estrada Inc;True
913;;;created;Comoros;two;Olson and Sons;True
530;;;created;Barbados;one;Stevens, Spencer and Brown;True
493;;;created;Fiji;two;Lee-Taylor;True
344;;;created;Belize;two;Newman PLC;True
537;;;created;Jordan;two;Adams and Sons;True
257;;;created;Vatican City;one;Dickson PLC;True
;83;83;created;Belgium;one;Williams Inc;False
;84;84;created;Panama;three;Huff Inc;False
;85;85;created;Mongolia;three;Williams PLC;False
;86;86;created;Japan;one;Sullivan-Jenkins;False
777;;;created;Cameroon;two;Ramsey PLC;True
;88;88;created;Belarus;two;Combs LLC;False
;89;89;created;Sao Tome & Principe;two;Duncan, Duncan and Sanchez;False
;90;90;created;Fiji;two;Williams-Jones;False
125;;;created;Romania;three;Price, Scott and Sparks;True
;92;92;created;Liberia;two;Graham-Mitchell;False
313;;;created;Guyana;two;Sparks-Haley;True
;94;94;created;Sao Tome & Principe;two;Nguyen, Sanders and Graham;False
811;;;created;Guyana;two;Walter Ltd;True
733;;;created;Bermuda;two;Jones, Barnett and Williams;True
275;;;created;Yemen;two;Smith-Thompson;True
86;;;created;Myanmar;two;Carter-Mathews;True
652;;;created;Latvia;one;Moss, Olson and Wyatt;True
227;;;created;Palestine;one;Krause, Summers and Jones;True
;101;101;created;Nigeria;three;Williamson-Velazquez;False
;102;102;created;Papua New Guinea;three;Stevens and Sons;False
173;;;created;Belgium;three;Maldonado, Flynn and Mullins;True
433;;;created;Luxembourg;one;Gamble LLC;True
780;;;created;Brazil;one;Lynch, Morris and Franklin;True
285;;;created;Luxembourg;one;Franco, Hall and Gutierrez;True
;107;107;created;Turkey;two;Rodriguez, Rodriguez and Campbell;False
803;;;created;New Zealand;one;Shepard-Price;True
;109;109;created;India;two;Reyes, Holmes and Rodriguez;False
;110;110;created;Syria;one;Brown, Potter and Russell;False
;111;111;created;Ivory Coast;one;Duke-Mendoza;False
185;;;created;Central African Rep;one;Molina-Davis;True
636;;;created;Fiji;one;Brown-Davis;True
;114;114;created;Samoa;three;Wells Ltd;False
603;;;created;Romania;one;Stevens and Sons;True
;116;116;created;Fiji;three;Parks LLC;False
;117;117;created;Belize;two;King, Jones and Jones;False
;118;118;created;Italy;one;Fischer PLC;False
976;;;created;Cuba;one;Scott, Mercer and Petty;True
29;;;created;Czech Republic;two;Boyle LLC;True
65;;;created;Antigua & Deps;two;Parsons-Fox;True
878;;;created;Croatia;three;Hernandez, Davis and Martin;True
623;;;created;Congo;three;Tran Ltd;True
;124;124;created;Sudan;three;Hernandez Ltd;False
771;;;created;Fiji;one;Rogers, Cooper and Rodriguez;True
;126;126;created;Bahrain;one;Jenkins-Shannon;False
;127;127;created;Australia;three;Clark-Cooley;False
;128;128;created;Bosnia Herzegovina;three;Robbins-Flores;False
;129;129;created;Mauritania;three;Terry Inc;False
907;;;created;France;three;Johnson, Graham and Nguyen;True
;131;131;created;United Kingdom;one;Phelps LLC;False
;132;132;created;Latvia;three;Johnston Group;False
;133;133;created;Equatorial Guinea;one;Wagner-Neal;False
552;;;created;Netherlands;one;Reyes Ltd;True
391;;;created;Chad;one;Dixon Ltd;True
993;;;created;St Kitts & Nevis;three;Herrera and Sons;True
776;;;created;Palau;one;Black, Levine and Hill;True
;138;138;created;China;three;Durham, Davis and Bryant;False
;139;139;created;Korea North;two;Garcia Inc;False
227;;;created;China;two;Taylor, Camacho and Rose;True
637;;;created;St Lucia;one;Henderson and Sons;True
301;;;created;Lebanon;two;Sullivan Inc;True
;143;143;created;Azerbaijan;three;Davis-Wolf;False
244;;;created;Paraguay;two;Vance-Curry;True
;145;145;created;Slovakia;one;Lawrence Inc;False
716;;;created;Honduras;two;Smith-Irwin;True
;147;147;created;Poland;three;Thomas Group;False
172;;;created;Poland;two;Smith Group;True
632;;;created;Czech Republic;two;Schultz PLC;True
856;;;created;Dominica;three;Carlson Ltd;True
;151;151;created;Sao Tome & Principe;one;Simmons LLC;False
828;;;created;Ghana;two;Cunningham-Brooks;True
209;;;created;Central African Rep;two;Koch Ltd;True
;154;154;created;Ivory Coast;one;Rose-Ross;False
875;;;created;Zimbabwe;one;Lane, Miller and Padilla;True
;156;156;created;France;two;Jenkins LLC;False
;157;157;created;Italy;three;Henson Inc;False
;158;158;created;Sierra Leone;two;Sherman, Ball and Nunez;False
799;;;created;El Salvador;two;Trevino PLC;True
;160;160;created;Burkina;one;Stephens PLC;False
604;;;created;Bahrain;one;Sanders-Beasley;True
622;;;created;United States;three;Hart, Nguyen and Figueroa;True
;163;163;created;Maldives;one;King, Edwards and Nichols;False
854;;;created;Botswana;one;Bennett Ltd;True
;165;165;created;Eswatini;two;Peterson, Carpenter and Hooper;False
;166;166;created;Iceland;one;Mccall, Miller and Williams;False
;167;167;created;Saint Vincent & the Grenadines;one;Ramirez, Willis and Simon;False
;168;168;created;Palau;three;Soto PLC;False
;169;169;created;Ukraine;two;Phillips Ltd;False
720;;;created;Congo (Democratic Rep);one;Miller, Riley and Bennett;True
;171;171;created;Palestine;one;Kim Group;False
;172;172;created;Afghanistan;one;Walker, Ramsey and Cohen;False
996;;;created;Belgium;three;Miller LLC;True
;174;174;created;Austria;two;Nguyen LLC;False
;175;175;created;Burundi;one;White Inc;False
;176;176;created;Uzbekistan;one;May, Dougherty and Little;False
;177;177;created;Sierra Leone;three;Gutierrez, Nelson and Patrick;False
;178;178;created;Bolivia;three;Murphy, Hobbs and Williams;False
;179;179;created;Samoa;three;Burton, Bernard and Fernandez;False
;180;180;created;Estonia;three;Carpenter Ltd;False
748;;;created;Sudan;two;Vega-Hudson;True
;182;182;created;Romania;two;Reyes-Landry;False
;183;183;created;Argentina;three;Silva, Massey and Brown;False
;184;184;created;Czech Republic;three;Simpson-Palmer;False
409;;;created;Guatemala;two;Scott, Hancock and Camacho;True
;186;186;created;Slovakia;three;Mcclure Ltd;False
54;;;created;Tuvalu;two;Smith and Sons;True
168;;;created;Bermuda;two;Phillips-Campbell;True
;189;189;created;France;three;Bryant and Sons;False
;190;190;created;Niger;one;Wright PLC;False
843;;;created;Peru;two;Obrien-Cole;True
;192;192;created;Bosnia Herzegovina;one;Stewart LLC;False
;193;193;created;Fiji;three;Frederick Group;False
118;;;created;Saudi Arabia;two;Allen-Walker;True
624;;;created;Slovakia;two;Castaneda Group;True
107;;;created;Korea North;one;Smith, Walker and Morrison;True
;197;197;created;Cameroon;two;Vance PLC;False
;198;198;created;Kenya;two;White-Allen;False
470;;;created;Greece;three;Carson, Stone and Martin;True
577;;;created;Saudi Arabia;three;Johnson-Hall;True
;201;201;created;Dominica;three;Jackson-Ware;False
489;;;created;Portugal;one;Lindsey Group;True
;203;203;created;Taiwan;two;Randall PLC;False
;204;204;created;St Kitts & Nevis;one;Baker-Campbell;False
;205;205;created;Samoa;three;Stokes, Dixon and Logan;False
889;;;created;Senegal;one;Anderson-Martin;True
27;;;created;Cambodia;three;Roberts, Mendez and Espinoza;True
;208;208;created;Algeria;one;Duran-Blevins;False
;209;209;created;Cyprus;three;Smith, Richardson and Glover;False
802;;;created;Cyprus;three;Kim-Glover;True
;211;211;created;Singapore;one;Gould, Jones and Woods;False
;212;212;created;Zimbabwe;one;Phelps, Romero and Brown;False
;213;213;created;Latvia;three;Lopez, Smith and Clark;False
799;;;created;United Arab Emirates;one;Marshall, Johnson and Jackson;True
297;;;created;Albania;two;Hudson PLC;True
804;;;created;Grenada;one;Aguilar-Ross;True
;217;217;created;Saudi Arabia;one;Wall-Bentley;False
234;;;created;Australia;three;Chavez-Allen;True
754;;;created;Suriname;two;Adams and Sons;True
999;;;created;Haiti;three;Hill and Sons;True
640;;;created;Bahamas;two;Garcia and Sons;True
295;;;created;Laos;one;West-Douglas;True
165;;;created;Gabon;two;Smith, Miller and Smith;True
450;;;created;Senegal;two;Thompson-Holder;True
913;;;created;Ecuador;one;Harris-Harris;True
;226;226;created;Syria;one;Williams, Walker and Jones;False
;227;227;created;Trinidad & Tobago;two;Grant-Evans;False
271;;;created;Burundi;one;Simmons, Garza and Foster;True
858;;;created;Brazil;three;Preston LLC;True
743;;;created;Ireland (Republic);three;Wagner-Collins;True
;231;231;created;Myanmar;two;Bailey Inc;False
733;;;created;Guinea;one;Castillo and Sons;True
114;;;created;United Kingdom;one;Phillips Group;True
;234;234;created;Philippines;two;Thomas, Johnson and Barker;False
378;;;created;Ecuador;three;Martin PLC;True
205;;;created;Congo;one;Christensen and Sons;True
694;;;created;Chad;three;Keller-Douglas;True
;238;238;created;Sweden;two;Washington, Martinez and Ramirez;False
;239;239;created;Botswana;two;Burgess-Brown;False
;240;240;created;Cape Verde;three;Ford, Thomas and Thomas;False
523;;;created;Dominica;two;Johnson Group;True
;242;242;created;South Sudan;two;Berry PLC;False
;243;243;created;Ghana;one;Jones PLC;False
265;;;created;Gambia;three;Guzman-Burton;True
177;;;created;Liechtenstein;one;Jones-Smith;True
159;;;created;Uruguay;three;Owens-Sullivan;True
;247;247;created;Portugal;three;Hughes-Graves;False
508;;;created;Namibia;two;White, Jones and Owen;True
;249;249;created;Japan;one;Fox Ltd;False
;250;250;created;Honduras;two;King Inc;False
;251;251;created;Solomon Islands;three;Burns, Gonzalez and Evans;False
342;;;created;Maldives;one;Christian-Garcia;True
;253;253;created;Rwanda;three;Maldonado Ltd;False
205;;;created;Benin;three;Davis-Noble;True
;255;255;created;Barbados;two;Carter-Vincent;False
700;;;created;Somalia;one;Perez, Martin and Gilbert;True
32;;;created;Somalia;one;Hutchinson PLC;True
183;;;created;Liechtenstein;two;Walton-Golden;True
239;;;created;Finland;three;Jackson, Bowman and Mcdonald;True
515;;;created;Bolivia;two;Hernandez, Stewart and Jones;True
952;;;created;Eswatini;one;Ruiz and Sons;True
618;;;created;Slovenia;two;Glover, Hancock and Ruiz;True
;263;263;created;Trinidad & Tobago;three;Cross-Baker;False
839;;;created;Panama;three;Patterson LLC;True
458;;;created;Marshall Islands;two;Ellis Inc;True
;266;266;created;Liechtenstein;one;Perkins-Gibson;False
;267;267;created;Lebanon;two;Bautista-Conner;False
;268;268;created;Cape Verde;two;Nolan, Mcdonald and Miller;False
640;;;created;Burundi;one;Reeves PLC;True
266;;;created;Dominican Republic;three;Cross-Lopez;True
;271;271;created;Libya;one;Osborne, Mcguire and Harris;False
;272;272;created;Switzerland;three;Nichols and Sons;False
;273;273;created;Slovakia;two;Kim-Mayo;False
;274;274;created;France;three;Hernandez Ltd;False
;275;275;created;Peru;two;Benitez Ltd;False
;276;276;created;Niger;one;Vang PLC;False
172;;;created;Ethiopia;three;Pena, Fitzgerald and Watts;True
;278;278;created;Kuwait;three;Mcdonald-Stone;False
384;;;created;Russian Federation;one;Jimenez-Middleton;True
;280;280;created;Burkina;one;Carpenter LLC;False
214;;;created;Uzbekistan;one;Miller and Sons;True
799;;;created;Armenia;two;Jensen-Soto;True
;283;283;created;Germany;two;Edwards PLC;False
93;;;created;Japan;three;Anderson-Wilson;True
;285;285;created;Tanzania;two;Peterson-Carr;False
;286;286;created;Japan;two;Johnson-James;False
;287;287;created;Argentina;three;Woodard and Sons;False
;288;288;created;St Kitts & Nevis;two;Rivera, Hughes and Murray;False
74;;;created;Nauru;two;Hansen LLC;True
;290;290;created;Angola;two;Brown-Atkinson;False
170;;;created;Seychelles;two;Lowery, Wilson and Aguirre;True
;292;292;created;India;two;Jennings LLC;False
;293;293;created;Ecuador;one;Carey, Cantu and Robinson;False
;294;294;created;Algeria;two;Lynch, Carter and Jones;False
3;;;created;Guyana;two;Sellers, Rowe and Cooper;True
262;;;created;Azerbaijan;two;Smith, Barnes and Matthews;True
;297;297;created;Netherlands;two;Stevens, George and Young;False
;298;298;created;Barbados;one;Blackwell, Miles and Keller;False
;299;299;created;Belize;one;Mcconnell-Lopez;False
;300;300;created;Kuwait;three;Lowe Inc;False
723;;;created;Canada;three;Farley PLC;True
650;;;created;Seychelles;one;Ray, Patterson and Obrien;True
;303;303;created;Qatar;three;Ware, Reyes and Hamilton;False
169;;;created;Italy;one;Oneill-Spears;True
838;;;created;Solomon Islands;three;Vargas and Sons;True
;306;306;created;Bosnia Herzegovina;three;Ford PLC;False
;307;307;created;Uruguay;one;Nelson Ltd;False
;308;308;created;Yemen;one;Hunter, Welch and Pham;False
;309;309;created;Angola;two;Rivera and Sons;False
;310;310;created;Spain;two;Moreno-Schultz;False
;311;311;created;Romania;two;Morgan LLC;False
292;;;created;Malawi;three;Johnson Ltd;True
;313;313;created;Slovenia;three;Sheppard, Hawkins and Rodriguez;False
968;;;created;Egypt;two;Delgado, Frost and Conner;True
;315;315;created;Bahamas;two;Anderson Inc;False
87;;;created;Vanuatu;two;Reed-Bennett;True
;317;317;created;Gabon;three;Wallace, Robinson and Frazier;False
667;;;created;Kyrgyzstan;one;Gray Inc;True
641;;;created;Samoa;two;Schneider PLC;True
;320;320;created;Armenia;three;Henry, Hebert and White;False
;321;321;created;Ethiopia;two;Johnson PLC;False
;322;322;created;France;three;Murphy, Holloway and Washington;False
125;;;created;New Zealand;one;Baker-Jacobson;True
;324;324;created;Ethiopia;three;Werner and Sons;False
;325;325;created;Botswana;one;Mason, Smith and Russell;False
;326;326;created;Taiwan;two;Stanley-Mitchell;False
;327;327;created;Mali;two;Russell, Holmes and Oneill;False
;328;328;created;Israel;two;Leblanc, Jimenez and Hughes;False
;329;329;created;Sweden;three;Francis-Campbell;False
422;;;created;United States;three;Barnes-Schwartz;True
539;;;created;Armenia;three;Hendrix-Barnett;True
;332;332;created;Liechtenstein;three;Stewart PLC;False
207;;;created;Cameroon;one;Cohen, Taylor and Garcia;True
746;;;created;Bosnia Herzegovina;one;Rhodes PLC;True
384;;;created;Burundi;three;Montoya, Mcbride and Zimmerman;True
994;;;created;Israel;two;Wood, Wang and Rasmussen;True
173;;;created;Sao Tome & Principe;two;May PLC;True
182;;;created;Malawi;one;Reid and Sons;True
131;;;created;Hungary;one;Schmidt, Mcgrath and Phillips;True
488;;;created;Tonga;three;Soto LLC;True
676;;;created;Kazakhstan;three;Hall-Williams;True
470;;;created;Namibia;three;Buchanan-Levine;True
;343;343;created;Sudan;two;Cooper, Williams and Richardson;False
241;;;created;Israel;two;Williams, Travis and Reynolds;True
;345;345;created;Andorra;three;Foster, Brown and Grant;False
856;;;created;Dominica;three;Garrett and Sons;True
;347;347;created;Sudan;one;Villa-Macias;False
;348;348;created;Bangladesh;one;Evans, Hayes and Robinson;False
;349;349;created;Lithuania;three;Taylor-Ramos;False
993;;;created;Macedonia;three;Martinez Inc;True
405;;;created;Azerbaijan;one;Clarke, Shelton and Singh;True
962;;;created;Finland;three;Chapman Inc;True
;353;353;created;Mozambique;two;Johnston-Russell;False
;354;354;created;Seychelles;one;Wise, Walters and Harvey;False
945;;;created;Andorra;one;Walker, Smith and Gould;True
;356;356;created;Spain;two;Bell Inc;False
310;;;created;Iran;one;Lee, Hernandez and Hamilton;True
;358;358;created;El Salvador;three;Garcia and Sons;False
;359;359;created;Tuvalu;one;Rodgers Group;False
;360;360;created;Belgium;one;Bradley-Stevenson;False
247;;;created;Andorra;two;Thompson-Harrison;True
31;;;created;Samoa;three;Garcia, Martinez and Tucker;True
179;;;created;Finland;three;Howard-Oneill;True
;364;364;created;Albania;three;Taylor, Gonzalez and Torres;False
849;;;created;Ukraine;two;Hall-Taylor;True
;366;366;created;Albania;one;Sexton Ltd;False
471;;;created;Italy;two;Gallagher, Mitchell and Hess;True
;368;368;created;Yemen;two;Alexander and Sons;False
939;;;created;Uruguay;three;Calderon Group;True
;370;370;created;Spain;one;Moody Inc;False
995;;;created;Equatorial Guinea;one;Brown Ltd;True
;372;372;created;Saint Vincent & the Grenadines;two;Jackson Group;False
335;;;created;Vatican City;one;Wilson PLC;True
;374;374;created;Costa Rica;two;Taylor-Elliott;False
848;;;created;Korea North;two;Frazier-French;True
722;;;created;Cape Verde;two;Melendez-Villa;True
971;;;created;Barbados;three;Smith, Evans and Larsen;True
;378;378;created;Ethiopia;two;Steele, Clark and Williamson;False
587;;;created;Antigua & Deps;three;Bennett, Fields and Chen;True
463;;;created;Mexico;three;Howard-Sanchez;True
;381;381;created;Bosnia Herzegovina;three;Juarez, Morgan and Gonzales;False
;382;382;created;Pakistan;one;Bartlett, Hogan and Ross;False
;383;383;created;Botswana;one;Banks PLC;False
731;;;created;Tanzania;one;Parker, Peck and Murray;True
;385;385;created;Fiji;three;Butler PLC;False
799;;;created;Eswatini;two;Reeves, Wilson and Cochran;True
558;;;created;Oman;one;Howard, Carter and Wolfe;True
939;;;created;Kazakhstan;one;Hernandez, Palmer and Garcia;True
;389;389;created;Tanzania;one;Smith, Nelson and Moss;False
;390;390;created;Dominica;one;Obrien, Figueroa and Lam;False
;391;391;created;Burundi;three;Maxwell PLC;False
857;;;created;Bermuda;one;Taylor-Park;True
;393;393;created;Mongolia;two;Sharp, Goodman and Owens;False
;394;394;created;Vanuatu;three;Graham-Irwin;False
60;;;created;India;two;Cooper Group;True
563;;;created;Samoa;three;Burke and Sons;True
;397;397;created;Croatia;two;Arnold Inc;False
;398;398;created;Moldova;three;Reid-Munoz;False
;399;399;created;New Zealand;two;Hunter, Bean and Pitts;False
456;;;created;Ethiopia;one;Nelson Inc;True
516;;;created;Trinidad & Tobago;two;Kramer-Martin;True
415;;;created;Belarus;one;Randolph-Wells;True
;403;403;created;Spain;two;Kelly Group;False
;404;404;created;Canada;three;Moore Ltd;False
341;;;created;Malawi;three;Smith PLC;True
470;;;created;Cape Verde;two;Bryant-Bowman;True
;407;407;created;Nicaragua;two;Edwards-Deleon;False
;408;408;created;Cuba;one;Powers Group;False
;409;409;created;Mauritius;two;Mccoy-Clark;False
;410;410;created;China;one;Harvey and Sons;False
880;;;created;Bolivia;one;Harris, Whitehead and Mcdonald;True
895;;;created;Latvia;one;Martin-Brown;True
;413;413;created;Equatorial Guinea;three;Mcdaniel and Sons;False
;414;414;created;Tonga;three;Valdez, Lawrence and Ray;False
;415;415;created;Philippines;one;Moss-Lee;False
;416;416;created;Lesotho;two;Delacruz and Sons;False
502;;;created;El Salvador;three;Tran-Glover;True
639;;;created;Samoa;two;Alvarez, Foster and Brown;True
407;;;created;Singapore;two;Hartman, Jones and Chavez;True
386;;;created;Russian Federation;two;Munoz-Chen;True
835;;;created;Moldova;two;Jones-Gallegos;True
;422;422;created;Oman;three;Tucker, Pratt and Williams;False
;423;423;created;Nepal;three;Lewis Inc;False
;424;424;created;Kazakhstan;one;Newman, Barton and Lee;False
751;;;created;Denmark;two;Riddle-Sloan;True
182;;;created;South Africa;two;Perry, Walker and Griffin;True
564;;;created;Fiji;two;Bullock-Guerrero;True
613;;;created;Palau;three;Graham, Collins and Parker;True
514;;;created;Palau;three;Brown, Reynolds and Frank;True
592;;;created;Antigua & Deps;one;Moore Inc;True
285;;;created;Guyana;three;Wang-Miller;True
552;;;created;St Lucia;one;Jackson, Williams and Mccullough;True
394;;;created;Costa Rica;three;Meyer Inc;True
;434;434;created;Bermuda;three;Leblanc, Palmer and Carroll;False
191;;;created;Kazakhstan;two;Prince, Davis and Mitchell;True
;436;436;created;Denmark;three;Williams Ltd;False
;437;437;created;Ukraine;three;Stewart Inc;False
6;;;created;Sudan;one;Mccarthy, White and White;True
;439;439;created;Solomon Islands;one;Miller, Mcpherson and Mccarthy;False
711;;;created;Moldova;two;Wright Inc;True
486;;;created;Tonga;three;Daniels Group;True
;442;442;created;Niger;three;Roth-Nguyen;False
605;;;created;Kosovo;three;Pierce, Clayton and Walker;True
711;;;created;Algeria;one;Graves, Espinoza and Fox;True
543;;;created;Saudi Arabia;two;Anderson-Harrison;True
;446;446;created;Bhutan;one;Morris, Gregory and Murray;False
883;;;created;China;two;Richard-Small;True
;448;448;created;Iran;one;Howell, Harper and Hayes;False
;449;449;created;Uzbekistan;two;Bowman-Rodgers;False
;450;450;created;Gabon;two;Miller-Hodges;False
408;;;created;Kyrgyzstan;three;Decker-Nelson;True
;452;452;created;Germany;two;Jackson Group;False
;453;453;created;Norway;three;Young, Smith and Washington;False
159;;;created;New Zealand;one;Porter PLC;True
857;;;created;Montenegro;three;Morrison Group;True
;456;456;created;Bangladesh;three;Johnson PLC;False
;457;457;created;Uganda;three;Larson Inc;False
514;;;created;Netherlands;two;Welch-Santiago;True
942;;;created;Bahamas;two;Wagner Group;True
557;;;created;Denmark;one;Taylor-Wyatt;True
377;;;created;Sweden;two;Washington-Watson;True
730;;;created;Nicaragua;three;Brooks Inc;True
962;;;created;Uzbekistan;two;Martinez-Foster;True
267;;;created;Kenya;two;Anderson LLC;True
430;;;created;Austria;three;Davis, Jackson and Davidson;True
457;;;created;Burundi;one;Dorsey-Esparza;True
99;;;created;Tanzania;one;Collins-Buchanan;True
708;;;created;Congo (Democratic Rep);three;Griffin, Berger and Martinez;True
690;;;created;Haiti;two;Vaughan-King;True
;470;470;created;Brunei;one;Valdez-Ross;False
;471;471;created;Morocco;one;Phillips, Ramirez and Rice;False
;472;472;created;St Kitts & Nevis;three;Jones-Atkins;False
;473;473;created;Liberia;three;Schmidt-Johnson;False
778;;;created;Austria;one;Delgado-Freeman;True
856;;;created;Senegal;three;Carter, Lee and Massey;True
;476;476;created;Vietnam;one;Henry-Parker;False
437;;;created;United Arab Emirates;two;Warner, Flores and Peterson;True
;478;478;created;Suriname;three;Aguilar, Yang and Poole;False
;479;479;created;Palau;two;Jordan Group;False
;480;480;created;Nigeria;two;Davis-Warren;False
6;;;created;Ireland (Republic);one;Landry Group;True
626;;;created;Samoa;three;Romero Group;True
360;;;created;Andorra;three;Montoya LLC;True
103;;;created;Egypt;two;Ryan-Myers;True
822;;;created;St Lucia;one;Patterson-Rodriguez;True
;486;486;created;Ecuador;three;Lee-Alexander;False
;487;487;created;Latvia;one;Dominguez LLC;False
;488;488;created;Togo;one;Spencer LLC;False
588;;;created;Comoros;two;Moody-Young;True
892;;;created;Belize;three;Hansen-Copeland;True
;491;491;created;Ivory Coast;two;Gibson, Nelson and Holloway;False
641;;;created;South Sudan;one;Mata PLC;True
113;;;created;Madagascar;one;Johnson-Guzman;True
;494;494;created;Thailand;two;Walker and Sons;False
;495;495;created;Bhutan;two;Carter, Davis and Williams;False
;496;496;created;Nicaragua;three;Williams-Mendoza;False
822;;;created;Malta;three;Foster, Smith and Shah;True
;498;498;created;Rwanda;one;Thompson-Turner;False
438;;;created;Trinidad & Tobago;three;Butler-Lucas;True
536;;;created;Honduras;two;Barrera-Case;True
998;;;created;Belgium;one;Holt PLC;True
748;;;created;Belgium;one;Spencer, Anderson and Krueger;True
275;;;created;Switzerland;three;Cameron and Sons;True
913;;;created;Algeria;three;Kim-Tate;True
;505;505;created;Serbia;one;Kennedy LLC;False
;506;506;created;Guinea;two;Walker and Sons;False
679;;;created;Lebanon;one;Bauer, Hanna and Baldwin;True
440;;;created;Antigua & Deps;two;Walsh Group;True
;509;509;created;Central African Rep;two;Malone, Carson and Brown;False
;510;510;created;Estonia;one;Porter Inc;False
;511;511;created;United States;three;Walker, Pope and Walker;False
;512;512;created;Uganda;three;Salinas, Zimmerman and Torres;False
;513;513;created;Pakistan;one;Ford-Woods;False
596;;;created;Peru;two;Valencia Group;True
362;;;created;Papua New Guinea;one;Richmond, Dyer and Brandt;True
;516;516;created;Cameroon;one;Hicks PLC;False
;517;517;created;Senegal;two;Haas Ltd;False
;518;518;created;Singapore;three;Sanders PLC;False
;519;519;created;Peru;one;Harrison, Walters and Brown;False
32;;;created;Cape Verde;two;Villanueva, Mcgrath and Mayer;True
;521;521;created;Mexico;one;Wells, Davis and Caldwell;False
695;;;created;Kuwait;three;Perez-Young;True
;523;523;created;United States;one;Palmer, Graham and Pacheco;False
937;;;created;Austria;one;Collins-Gomez;True
